categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;20/08/2021;00:09;12:00:00 AM;9;LINIERS;MONTIEL;1173;-34.65203157;-58.52484675;App BA 147;Masculino;Abierto;;;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:09;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:10;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;21/08/2021;00:10;12:00:00 AM;11;VILLA DEL PARQUE;BUFANO; ALFREDO R.;2812;-34.60086141;-58.48078337;GCS Web;Masculino;Cerrado;24/08/2021;0:00:00;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;20/08/2021;00:10;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/08/2021;00:11;12:00:00 AM;6;CABALLITO;ARANGUREN; JUAN F.; DR.;434;-34.6122643;-58.43708265;App BA 147;Masculino;Abierto;;;;
CALLES Y VEREDAS;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA;Solicitud;18/08/2021;00:11;12:00:00 AM;9;MATADEROS;TANDIL;6520;-34.66157524;-58.50186355;GCS Web;Femenino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;19/08/2021;00:11;12:00:00 AM;14;PALERMO;SOLDADO DE LA INDEPENDENCIA;1381;-34.56325584;-58.44154458;GCS Web;Femenino;Abierto;;;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;20/08/2021;00:11;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
ARBOLADO Y ESPACIOS VERDES;PROBLEMA CON INTERVENCIONES DE ARBOLADO;PROBLEMAS CON INTERVENCIONES DE ARBOLADO;Queja;20/08/2021;00:12;12:00:00 AM;7;PARQUE CHACABUCO;DE LAS GARANTIAS;1224;-34.63366886;-58.43712866;GCS Web;Femenino;Abierto;;;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;20/08/2021;00:12;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;21/08/2021;00:12;12:00:00 AM;6;CABALLITO;MAITEN;640;-34.62664479;-58.43668888;App Denuncia Vial;Femenino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;19/08/2021;00:13;12:00:00 AM;5;ALMAGRO;HUMAHUACA;3788;-34.60227245;-58.41767715;App Denuncia Vial;Masculino;Abierto;;;;
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ESTABLECIMIENTO SIN AUTORIZACIÓN PARA FUNCIONAR QUE VENDE O ELABORA ALIMENTOS;Denuncia;18/08/2021;00:13;12:00:00 AM;15;VILLA CRESPO;THAMES;530;-34.5951953;-58.44309318;GCS Web;Masculino;Cerrado;25/08/2021;0:00:00;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;19/08/2021;00:13;12:00:00 AM;12;VILLA URQUIZA;NUÑEZ;;-34.56375797;-58.49332229;App Denuncia Vial;Masculino;Abierto;;;;
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;20/08/2021;00:14;12:00:00 AM;9;LINIERS;MONTIEL;1187;-34.65212024;-58.52472963;App BA 147;Masculino;Abierto;;;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;19/08/2021;00:14;12:00:00 AM;4;BARRACAS;;;-34.65481859;-58.39848128;Operador UGIS;;Cerrado;20/08/2021;0:00:00;;
TRÁMITES Y SERVICIOS;ACCESO A LA INFORMACIÓN PÚBLICA;ACCESO A LA INFORMACIÓN PÚBLICA;Solicitud;23/08/2021;00:14;12:00:00 AM;;;;;;;GCS Web;Masculino;Abierto;;;;
CALLES Y VEREDAS;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA;Solicitud;19/08/2021;00:14;12:00:00 AM;5;BOEDO;PAVON AV.;3974;-34.63073919;-58.42012697;App BA 147;Femenino;Abierto;;;;
