categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;17/6/2021;11:49:35 PM;00:00;10;VILLA REAL;"MARTINEZ; JUAN ESTEBAN";2075;-346.202.982.415.436;-585.178.626.451.777;App BA 147;Masculino;Cerrado;20/6/2021;11:05:44 PM;;
LIMPIEZA Y RECOLECCIÓN;CESTOS Y CONTENEDORES;VACIADO DE CONTENEDOR;Queja;18/6/2021;12:09:51 AM;00:00;9;LINIERS;TONELERO;7167;-346.495.879.531.618;-585.237.607.612.599;App BA 147;Femenino;Cerrado;20/6/2021;11:05:48 PM;;
CALLES Y VEREDAS;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA;Solicitud;18/6/2021;12:12:25 AM;00:00;3;SAN CRISTOBAL;PICHINCHA;1087;-346.215.717.749.492;-583.983.330.028.958;GCS Web;Masculino;Cerrado;20/6/2021;3:01:10 PM;;
ALUMBRADO;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;Solicitud;19/6/2021;11:54:12 PM;00:00;1;RETIRO;"PELLEGRINI; CARLOS";1315;-345.926.380.819.695;-5.838.155.096.813;App BA 147;Masculino;Cerrado;27/6/2021;11:35:15 AM;;
ALUMBRADO;MAYOR ILUMINACIÓN EN CALLE;MAYOR ILUMINACIÓN EN CALLE / PLAZA;Solicitud;21/6/2021;11:45:58 PM;00:00;3;BALVANERA;LAVALLE;2969;-346.029.361.434.863;-58.408.066.632.578;App BA 147;Masculino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;20/6/2021;11:58:06 PM;00:00;12;VILLA URQUIZA;"TAMBORINI; JOSE PASCUAL";5135;-345.662.597.481.997;-584.920.497.107.926;App BA 147;Masculino;Cerrado;22/6/2021;12:03:40 AM;;
SALUD Y SERVICIOS SOCIALES;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;Denuncia;21/6/2021;12:04:27 AM;00:00;;;;;;;GCS Web;Femenino;Abierto;;;;
TRÁNSITO;VEHÍCULOS ABANDONADOS;REMOCIÓN DE VEHÍCULO / AUTO ABANDONADO;Solicitud;21/6/2021;12:05:17 AM;00:00;15;PARQUE CHAS;BERNA;2380;-34.580.753.636.242;-584.777.110.456.315;App BA 147;Masculino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;21/6/2021;12:10:16 AM;00:00;7;FLORES;FABRE;1231;-346.419.667.924.404;-584.517.988.953.732;GCS Web;Femenino;Cerrado;24/6/2021;10:33:38 AM;;
SALUD Y SERVICIOS SOCIALES;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;Denuncia;21/6/2021;12:14:02 AM;00:00;;;;;;;GCS Web;Femenino;Abierto;;;;
